epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,411.364,1.66406,1.52852,1.28744,0.35009,0.24333,0.24376,0.13184,1.7314,1.49438,1.29481,0.00499865,0.00499865,0.00499865
2,793.581,1.90873,1.79417,1.4312,0.83618,0.09932,0.13285,0.06579,1.80865,1.72281,1.36636,0.0099026,0.0099026,0.0099026
3,1170.59,1.93518,1.82989,1.47763,0.29969,0.27043,0.23349,0.12682,1.60322,1.40987,1.26238,0.00961944,0.00961944,0.00961944
4,1554.32,1.82713,1.67522,1.40967,0.38221,0.33225,0.29612,0.16706,1.52451,1.29409,1.22167,0.00915743,0.00915743,0.00915743
5,1932.35,1.77186,1.59425,1.36896,0.40294,0.34847,0.31738,0.18708,1.47738,1.22955,1.19329,0.00853568,0.00853568,0.00853568
6,2309.29,1.73077,1.54043,1.34207,0.39414,0.37199,0.35371,0.21215,1.43628,1.17919,1.16957,0.00777807,0.00777807,0.00777807
7,2880.3,1.57305,1.35815,1.24736,0.43868,0.39922,0.37876,0.23079,1.40582,1.14008,1.15234,0.00691373,0.00691373,0.00691373
8,3251.34,1.54044,1.30856,1.22754,0.44354,0.40316,0.39706,0.24316,1.38937,1.11387,1.14374,0.00597585,0.00597585,0.00597585
9,3619.38,1.50441,1.26367,1.20659,0.44722,0.40912,0.40421,0.24973,1.37596,1.09447,1.13554,0.0050005,0.0050005,0.0050005
10,3998.46,1.47247,1.21973,1.19067,0.45978,0.43382,0.41187,0.25645,1.36685,1.08091,1.129,0.00402515,0.00402515,0.00402515
11,4429.64,1.44668,1.17999,1.17311,0.47331,0.43842,0.42143,0.2644,1.35771,1.06811,1.12309,0.00308727,0.00308727,0.00308727
12,4825.33,1.41534,1.13894,1.15598,0.48618,0.44263,0.42972,0.27143,1.34969,1.05737,1.1172,0.00222293,0.00222293,0.00222293
13,5212.37,1.38352,1.10322,1.142,0.49644,0.4509,0.43756,0.27838,1.34182,1.0472,1.11105,0.00146532,0.00146532,0.00146532
14,5617.72,1.36506,1.07445,1.13107,0.50587,0.44256,0.4452,0.2843,1.33448,1.03736,1.10545,0.000843568,0.000843568,0.000843568
15,5993.38,1.34921,1.05268,1.12375,0.52664,0.43962,0.45077,0.28827,1.32824,1.02913,1.10069,0.000381564,0.000381564,0.000381564
16,6360.12,1.33918,1.03853,1.11844,0.54029,0.4399,0.4559,0.2923,1.32309,1.02119,1.09633,9.7064e-05,9.7064e-05,9.7064e-05
